City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Galesong,ID,-5.3166,119.3661,80.6,89,20,3.44,few clouds
238,Kwekwe,ZW,-18.9281,29.8149,61.9,56,24,4.38,few clouds
239,Baykit,RU,61.67,96.37,30.34,72,15,4.99,few clouds
240,Outjo,NA,-20.1167,16.15,62.01,37,4,5.23,clear sky
241,Gweta,BW,-20.1833,25.2333,67.26,28,82,5.84,broken clouds
242,Muli,MV,2.9167,73.5667,82.83,70,100,5.3,overcast clouds
243,Neveklov,CZ,49.7537,14.5329,34.0,86,6,0.78,clear sky
244,Altay,CN,47.8667,88.1167,34.56,30,94,5.1,overcast clouds
245,Leku,ET,6.8667,38.45,60.49,92,100,0.45,light rain
246,Seoul,KR,37.5683,126.9778,62.6,27,40,10.36,scattered clouds
247,Port Lincoln,AU,-34.7333,135.8667,64.67,66,1,7.99,clear sky
248,Vyartsilya,RU,62.1764,30.693,38.59,89,88,10.94,light rain
249,Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,19.57,light rain
250,Kropotkin,RU,45.4375,40.5756,48.0,82,100,10.16,light rain
251,Waynesville,US,35.4887,-82.9887,53.6,54,1,6.91,clear sky
252,Payo,ID,-3.7508,103.6372,79.23,76,73,1.34,broken clouds
253,San Quintin,MX,30.4833,-115.95,61.09,68,72,11.18,broken clouds
254,Lodeynoye Pole,RU,60.726,33.5531,35.65,98,100,3.56,overcast clouds
255,Norman Wells,CA,65.282,-126.8329,37.4,38,20,13.8,few clouds
256,Port Moresby,PG,-9.4431,147.1797,83.23,71,92,8.95,overcast clouds
257,Santa Cruz,BO,-17.8,-63.1667,66.2,94,20,6.91,few clouds
258,Olafsvik,IS,64.8945,-23.7142,39.2,89,7,14.23,clear sky
259,Ust-Maya,RU,60.4167,134.5333,34.92,93,100,4.5,overcast clouds
260,Samarai,PG,-10.6167,150.6667,85.14,69,59,11.54,broken clouds
261,Salinopolis,BR,-0.6136,-47.3561,78.98,84,65,8.39,broken clouds
262,Carutapera,BR,-1.195,-46.02,76.14,91,16,4.76,few clouds
263,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,68,75,5.75,broken clouds
264,Bakchar,RU,57.0186,82.0711,37.44,91,100,3.94,overcast clouds
265,Ardakan,IR,32.31,54.0175,72.34,34,100,5.5,overcast clouds
266,Longyearbyen,SJ,78.2186,15.6401,14.0,67,20,3.44,few clouds
267,Mumford,GH,5.2618,-0.759,81.34,83,99,7.36,overcast clouds
268,Badulla,LK,6.9895,81.0557,69.19,80,100,3.47,overcast clouds
269,Hazorasp,UZ,41.3194,61.0742,57.2,35,0,4.61,clear sky
270,Ocean City,US,39.2776,-74.5746,57.99,62,1,6.91,clear sky
271,Namuac,PH,18.6109,121.1657,79.2,71,68,12.48,broken clouds
272,Beringovskiy,RU,63.05,179.3167,31.73,90,72,1.43,broken clouds
273,Lovington,US,32.944,-103.3485,86.0,4,1,12.66,clear sky
274,Cranbrook,CA,49.4999,-115.7688,44.6,81,75,9.22,broken clouds
275,Pangai,TO,-19.8,-174.35,84.2,70,40,12.66,scattered clouds
276,Honiara,SB,-9.4333,159.95,87.15,67,60,5.17,broken clouds
277,Harrison,US,30.4091,-89.0436,69.8,68,1,2.44,clear sky
278,Brae,GB,60.3964,-1.353,41.0,93,100,5.75,overcast clouds
279,Ulladulla,AU,-35.35,150.4667,62.6,59,20,6.91,few clouds
280,Dolores,AR,-36.3132,-57.6792,52.02,86,0,6.87,clear sky
281,Inyonga,TZ,-6.7167,32.0667,62.13,97,91,3.74,overcast clouds
282,Silanga,PH,11.8181,124.8431,81.19,73,23,4.29,few clouds
283,Arlit,NE,18.7369,7.3853,88.74,10,35,9.84,scattered clouds
284,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,77,75,10.36,broken clouds
285,Kyra,RU,49.5776,111.9753,45.75,47,4,10.16,clear sky
286,Jiexiu,CN,37.0244,111.9125,59.79,57,6,6.98,clear sky
287,Storforshei,NO,66.4043,14.5233,16.88,91,23,2.82,few clouds
288,Dzaoudzi,YT,-12.7887,45.2699,77.0,88,0,8.05,light rain
289,Karratha,AU,-20.7377,116.8463,82.9,33,0,10.98,clear sky
290,Paramonga,PE,-10.6667,-77.8333,67.51,84,29,7.85,scattered clouds
291,Vadso,NO,70.0744,29.7487,24.8,74,40,3.44,scattered clouds
292,Loreto,MX,22.2667,-101.9667,73.85,32,85,22.28,overcast clouds
293,Talnakh,RU,69.4865,88.3972,5.61,88,94,6.98,overcast clouds
294,Fjerritslev,DK,57.0813,9.2664,35.6,87,75,4.61,broken clouds
295,Svetlogorsk,BY,52.6333,29.7333,30.31,83,48,5.48,scattered clouds
296,Klaksvik,FO,62.2266,-6.589,44.6,87,100,17.27,overcast clouds
297,Candido Mendes,BR,-1.4467,-45.7167,74.57,94,33,2.71,scattered clouds
298,Haskovo,BG,41.9403,25.5694,46.99,87,5,4.61,clear sky
299,Lang Son,VN,21.8333,106.7333,70.66,96,100,4.83,moderate rain
300,Rio Grande,BR,-32.035,-52.0986,61.0,85,39,3.0,scattered clouds
301,Krasnoarmeyskoye,RU,52.7182,50.0322,38.26,68,92,9.93,overcast clouds
302,Srednekolymsk,RU,67.45,153.6833,23.59,71,6,8.9,clear sky
303,Nome,US,64.5011,-165.4064,46.4,61,1,4.68,clear sky
304,Iqaluit,CA,63.7506,-68.5145,32.0,93,75,3.44,broken clouds
305,Floro,NO,61.5996,5.0328,37.4,60,90,8.05,overcast clouds
306,Dire Dawa,ET,9.5931,41.8661,70.65,73,100,4.14,overcast clouds
307,Yulara,AU,-25.2406,130.9889,71.6,28,0,18.41,clear sky
308,Raga,SS,8.4596,25.678,72.95,77,100,7.83,overcast clouds
309,Tahe,CN,52.3333,124.7333,56.97,26,94,5.53,overcast clouds
310,Dickinson,US,29.4608,-95.0513,71.6,68,1,8.05,clear sky
311,Yuxia,CN,34.0615,108.6291,51.8,100,75,4.47,mist
312,Mayo,US,38.8876,-76.5119,59.0,72,100,10.02,overcast clouds
313,Hambantota,LK,6.1241,81.1185,77.0,100,20,5.48,few clouds
314,Ihosy,MG,-22.4,46.1167,64.71,91,92,6.08,overcast clouds
315,Bengkulu,ID,-3.8004,102.2655,79.16,78,54,4.05,broken clouds
316,Ibimirim,BR,-8.5406,-37.6903,72.55,84,0,10.4,clear sky
317,Beibei,CN,29.8256,106.4339,60.01,100,90,2.24,mist
318,Banjar,ID,-8.19,114.9675,84.2,79,20,3.44,few clouds
319,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.56,83,3,8.19,clear sky
320,Rafai,CF,4.95,23.9167,68.88,99,100,1.95,overcast clouds
321,Qixingtai,CN,30.4135,111.8874,62.01,78,98,7.56,overcast clouds
322,Faanui,PF,-16.4833,-151.75,81.16,64,2,1.36,clear sky
323,Bosaso,SO,11.2842,49.1816,84.27,65,13,7.05,few clouds
324,Sinnamary,GF,5.3833,-52.95,77.56,89,100,9.8,overcast clouds
325,Kupang,ID,-10.1667,123.5833,80.64,57,93,8.12,overcast clouds
326,Kununurra,AU,-15.7667,128.7333,87.8,33,100,14.97,overcast clouds
327,Lasa,IT,46.6166,10.7002,52.0,75,0,3.44,clear sky
328,Ruston,US,32.5232,-92.6379,68.0,52,1,3.44,clear sky
329,Baheri,IN,28.7833,79.5,76.32,17,0,4.38,clear sky
330,Ancud,CL,-41.8697,-73.8203,54.0,93,75,1.14,broken clouds
331,Bambanglipuro,ID,-7.95,110.2833,80.62,73,1,3.71,clear sky
